subject	qid	answer_idx	hippo_pick	blend_pick	hippo_correct	blend_correct	agree	outcome	hippo_net_correct	blend_net_correct	hippo_net_picked	blend_net_picked	hippo_pos	hippo_neg	hippo_slope	blend_pos	blend_neg	blend_slope	word_count	unique_ratio	avg_word_len
sociology	48	3	2	2	0	0	1	both_wrong	-141	-114	945	989	820	961	2315	824	938	2334	6	1.0	3.67
sociology	49	2	3	1	0	0	0	both_wrong	-90	958	906	1000	857	947	2292	2509	1551	36	7	1.0	4.43
sociology	50	1	2	0	0	0	0	both_wrong	927	-146	994	961	2497	1570	29	799	945	2352	6	1.0	4.67
sociology	51	1	2	0	0	0	0	both_wrong	916	-162	922	971	2506	1590	0	801	963	2332	6	1.0	6.67
sociology	52	1	0	1	0	1	0	blend_wins	945	985	948	985	2506	1561	29	2517	1532	47	33	0.8485	4.82
sociology	53	2	0	2	0	1	0	blend_wins	-92	964	963	964	841	933	2322	2513	1549	34	26	0.9231	4.12
sociology	54	0	2	0	0	1	0	blend_wins	-139	1028	975	1028	809	948	2339	2546	1518	32	15	1.0	4.67
sociology	55	2	3	0	0	0	0	both_wrong	-129	-124	999	1004	818	947	2331	821	945	2330	4	1.0	7.0
sociology	56	1	3	0	0	0	0	both_wrong	-105	950	980	964	818	923	2355	2521	1571	4	6	1.0	5.33
sociology	57	2	2	2	1	1	1	both_right	966	979	966	979	2515	1549	32	2521	1542	33	17	0.8235	4.71
sociology	58	1	3	0	0	0	0	both_wrong	-132	997	-106	1022	818	950	2328	2532	1535	29	7	1.0	5.71
sociology	59	1	3	0	0	0	0	both_wrong	-114	970	993	975	840	954	2302	2519	1549	28	13	0.9231	5.0
sociology	60	1	3	1	0	1	0	blend_wins	973	1016	1005	1016	2517	1544	35	2539	1523	34	16	1.0	4.31
sociology	61	2	1	1	0	0	1	both_wrong	-139	886	987	957	823	962	2311	2471	1585	40	5	1.0	4.4
sociology	62	3	0	2	0	0	0	both_wrong	-157	-129	942	961	807	964	2325	812	941	2343	20	0.85	4.1
sociology	63	2	0	1	0	0	0	both_wrong	928	-166	1001	985	2496	1568	32	811	977	2308	7	1.0	5.0
sociology	64	3	3	0	1	0	0	hippo_wins	948	-129	948	917	2521	1573	2	815	944	2337	5	1.0	5.8
sociology	65	0	0	0	1	1	1	both_right	981	958	981	958	2526	1545	25	2527	1569	0	8	1.0	4.5
sociology	66	3	3	1	1	0	0	hippo_wins	963	-143	963	970	2515	1552	29	788	931	2377	9	1.0	5.56
sociology	67	3	2	3	0	1	0	blend_wins	-163	970	954	970	817	980	2299	2507	1537	52	26	0.6923	5.15
sociology	68	0	3	1	0	0	0	both_wrong	964	962	981	975	2530	1566	0	2528	1566	2	43	0.7907	5.33
sociology	69	0	2	2	0	0	1	both_wrong	-179	934	951	1013	800	979	2317	2515	1581	0	5	1.0	6.0
sociology	70	0	3	1	0	0	0	both_wrong	910	-129	920	936	2502	1592	2	823	952	2321	6	1.0	5.67
sociology	71	0	0	1	1	0	0	hippo_wins	921	-138	921	938	2508	1587	1	814	952	2330	83	0.7831	5.31
sociology	72	3	1	3	0	1	0	blend_wins	-121	984	954	984	835	956	2305	2526	1542	28	20	0.85	4.15
sociology	73	3	3	3	1	1	1	both_right	993	1023	993	1023	2533	1540	23	2543	1520	33	10	1.0	4.9
sociology	74	2	0	0	0	0	1	both_wrong	929	930	965	973	2512	1583	1	2512	1582	2	9	1.0	4.11
sociology	75	0	3	3	0	0	1	both_wrong	952	968	1018	1064	2524	1572	0	2532	1564	0	5	1.0	6.2
sociology	76	2	3	0	0	0	0	both_wrong	-140	-129	994	997	817	957	2322	816	945	2335	6	1.0	4.5
sociology	77	3	1	2	0	0	0	both_wrong	-125	-109	950	953	808	933	2355	804	913	2379	8	1.0	4.12
sociology	78	2	3	2	0	1	0	blend_wins	-138	981	-128	981	811	949	2336	2518	1537	41	22	0.7727	4.73
sociology	79	3	0	1	0	0	0	both_wrong	995	974	1002	987	2545	1550	1	2518	1544	34	8	1.0	5.88
sociology	80	3	3	0	1	0	0	hippo_wins	1012	-112	1012	955	2538	1526	32	830	942	2324	16	1.0	5.88
sociology	81	3	3	3	1	1	1	both_right	933	940	933	940	2513	1580	3	2500	1560	36	14	0.9286	6.57
sociology	82	3	3	0	1	0	0	hippo_wins	977	931	977	1007	2536	1559	1	2512	1581	3	21	0.8095	5.0
sociology	83	2	2	2	1	1	1	both_right	987	981	987	981	2527	1540	29	2513	1532	51	2	1.0	7.5
sociology	84	2	0	1	0	0	0	both_wrong	-121	-122	894	969	811	932	2353	815	937	2344	5	1.0	4.2
sociology	85	3	3	3	1	1	1	both_right	938	973	938	973	2516	1578	2	2513	1540	43	26	0.7692	4.73
sociology	86	3	1	2	0	0	0	both_wrong	886	-159	944	915	2477	1591	28	816	975	2305	3	1.0	4.67
sociology	87	3	3	1	1	0	0	hippo_wins	956	-163	956	-115	2525	1569	2	800	963	2333	4	1.0	5.25
sociology	88	3	2	0	0	0	0	both_wrong	-174	861	1021	985	790	964	2342	2457	1596	43	8	1.0	5.0
sociology	89	0	0	1	1	0	0	hippo_wins	985	-146	985	1004	2528	1543	25	826	972	2298	16	0.9375	6.19
sociology	90	2	0	0	0	0	1	both_wrong	-119	-130	972	924	843	962	2291	831	961	2304	9	1.0	6.0
sociology	91	2	2	2	1	1	1	both_right	961	993	961	993	2528	1567	1	2528	1535	33	19	0.8947	5.37
sociology	92	2	2	2	1	1	1	both_right	984	1068	984	1068	2539	1555	2	2563	1495	38	15	0.8667	4.13
sociology	93	3	1	2	0	0	0	both_wrong	968	956	975	988	2531	1563	2	2502	1546	48	14	1.0	5.64
sociology	94	0	0	1	1	0	0	hippo_wins	946	964	946	990	2518	1572	6	2510	1546	40	12	1.0	5.58
sociology	95	0	1	1	0	0	1	both_wrong	933	-128	987	1021	2514	1581	1	811	939	2346	11	0.9091	5.09
sociology	96	3	1	3	0	1	0	blend_wins	-149	968	927	968	813	962	2321	2514	1546	36	11	0.9091	4.45
sociology	97	0	0	0	1	1	1	both_right	942	941	942	941	2505	1563	28	2518	1577	1	7	1.0	7.14
sociology	98	1	3	3	0	0	1	both_wrong	912	931	968	992	2504	1592	0	2494	1563	39	11	1.0	5.82
sociology	99	2	0	2	0	1	0	blend_wins	955	971	995	971	2513	1558	25	2533	1562	1	10	1.0	5.1
sociology	100	3	0	3	0	1	0	blend_wins	-137	1014	983	1014	823	960	2313	2537	1523	36	6	1.0	4.67
sociology	101	3	3	3	1	1	1	both_right	999	1042	999	1042	2536	1537	23	2556	1514	26	9	1.0	5.11
sociology	102	2	2	2	1	1	1	both_right	1005	975	1005	975	2549	1544	3	2523	1548	25	35	0.7429	5.17
sociology	103	3	0	3	0	1	0	blend_wins	-121	995	927	995	835	956	2305	2525	1530	41	10	1.0	6.2
sociology	104	2	1	1	0	0	1	both_wrong	-171	907	965	993	790	961	2345	2500	1593	3	10	1.0	5.4
sociology	105	3	1	1	0	0	1	both_wrong	941	-182	961	959	2518	1577	1	787	969	2340	9	1.0	5.78
sociology	106	3	1	3	0	1	0	blend_wins	-117	1010	985	1010	822	939	2335	2535	1525	36	10	1.0	4.9
sociology	107	3	1	1	0	0	1	both_wrong	-131	1005	1006	1028	830	961	2305	2535	1530	31	5	1.0	8.2
sociology	108	0	3	3	0	0	1	both_wrong	965	944	971	983	2516	1551	29	2518	1574	4	18	0.9444	4.5
sociology	109	2	0	2	0	1	0	blend_wins	-131	964	1049	964	822	953	2321	2530	1566	0	7	1.0	6.43
sociology	110	3	3	3	1	1	1	both_right	909	982	909	982	2501	1592	3	2519	1537	40	13	1.0	6.46
sociology	111	1	3	3	0	0	1	both_wrong	-114	937	999	998	825	939	2332	2505	1568	23	8	1.0	4.88
sociology	112	2	0	0	0	0	1	both_wrong	-157	-143	1029	1003	816	973	2307	827	970	2299	9	1.0	5.78
sociology	113	0	3	2	0	0	0	both_wrong	-142	-128	962	954	800	942	2354	813	941	2342	15	0.9333	3.93
sociology	114	0	3	1	0	0	0	both_wrong	889	-128	967	947	2481	1592	23	801	929	2366	9	0.8889	5.56
sociology	115	1	0	3	0	0	0	both_wrong	859	913	948	986	2476	1617	3	2484	1571	41	5	1.0	6.6
sociology	116	2	1	1	0	0	1	both_wrong	991	985	1005	990	2532	1541	23	2519	1534	43	6	1.0	8.33
sociology	117	1	2	1	0	1	0	blend_wins	967	-131	993	-131	2520	1553	23	829	960	2307	7	1.0	6.29
sociology	118	1	3	3	0	0	1	both_wrong	938	982	982	1009	2517	1579	0	2516	1534	46	10	0.9	4.7
sociology	119	2	2	0	1	0	0	hippo_wins	-111	958	-111	990	825	936	2335	2500	1542	54	18	0.9444	4.39
sociology	120	2	2	1	1	0	0	hippo_wins	982	-171	982	932	2539	1557	0	791	962	2343	5	1.0	4.8
sociology	121	1	1	2	1	0	0	hippo_wins	992	960	992	969	2544	1552	0	2528	1568	0	19	0.9474	5.89
sociology	122	3	0	3	0	1	0	blend_wins	-109	986	1005	986	811	920	2365	2520	1534	42	12	1.0	4.83
sociology	123	2	0	3	0	0	0	both_wrong	975	1001	1003	1009	2535	1560	1	2547	1546	3	7	1.0	5.29
sociology	124	0	3	1	0	0	0	both_wrong	947	926	972	991	2520	1573	3	2490	1564	42	3	1.0	7.67
sociology	125	1	1	1	1	1	1	both_right	971	979	971	979	2519	1548	29	2511	1532	53	11	1.0	4.91
sociology	126	2	0	3	0	0	0	both_wrong	890	-179	1024	911	2492	1602	2	783	962	2351	6	1.0	4.83
sociology	127	3	2	3	0	1	0	blend_wins	-138	982	957	982	821	959	2316	2521	1539	36	13	0.8462	5.54
sociology	128	2	3	3	0	0	1	both_wrong	-124	948	949	976	822	946	2328	2502	1554	40	4	1.0	6.0
sociology	129	2	3	1	0	0	0	both_wrong	876	-134	964	939	2485	1609	2	827	961	2308	9	1.0	5.78
sociology	130	3	1	2	0	0	0	both_wrong	-103	890	931	976	832	935	2329	2493	1603	0	8	1.0	5.0
sociology	131	3	3	0	1	0	0	hippo_wins	1031	-148	1031	1004	2555	1524	17	828	976	2292	10	1.0	5.7
sociology	132	0	2	1	0	0	0	both_wrong	-137	1006	1046	1015	817	954	2325	2532	1526	38	5	1.0	4.2
sociology	133	3	1	3	0	1	0	blend_wins	-164	951	940	951	782	946	2368	2494	1543	59	9	1.0	5.56
sociology	134	1	0	1	0	1	0	blend_wins	-113	931	952	931	838	951	2307	2511	1580	5	5	1.0	4.8
sociology	135	1	3	2	0	0	0	both_wrong	-127	947	955	990	840	967	2289	2508	1561	27	8	1.0	5.88
sociology	136	3	0	0	0	0	1	both_wrong	923	951	974	972	2509	1586	1	2503	1552	41	13	0.7692	5.46
sociology	137	0	2	0	0	1	0	blend_wins	1016	1002	1018	1002	2546	1530	20	2539	1537	20	38	0.7895	5.47
sociology	138	3	0	0	0	0	1	both_wrong	969	935	974	981	2531	1562	3	2514	1579	3	17	0.9412	4.88
sociology	139	3	0	0	0	0	1	both_wrong	-145	-134	992	-128	804	949	2343	816	950	2330	5	1.0	8.0
sociology	140	1	3	0	0	0	0	both_wrong	-145	907	964	928	794	939	2363	2479	1572	45	12	0.9167	4.25
sociology	141	1	3	1	0	1	0	blend_wins	-140	999	969	999	842	982	2272	2529	1530	37	4	1.0	5.5
sociology	142	1	2	1	0	1	0	blend_wins	-146	976	941	976	832	978	2286	2521	1545	30	7	1.0	5.0
sociology	143	0	0	2	1	0	0	hippo_wins	975	-137	975	935	2520	1545	31	822	959	2315	12	0.8333	4.25
sociology	144	1	1	2	1	0	0	hippo_wins	948	-149	948	952	2508	1560	28	808	957	2331	7	1.0	5.14
sociology	145	2	1	3	0	0	0	both_wrong	-127	944	982	977	828	955	2313	2501	1557	38	13	0.9231	4.23
sociology	146	0	3	1	0	0	0	both_wrong	-146	939	946	966	812	958	2326	2516	1577	3	10	0.9	5.4
sociology	147	3	1	1	0	0	1	both_wrong	949	951	960	1009	2509	1560	27	2505	1554	37	4	1.0	8.0
sociology	148	1	2	0	0	0	0	both_wrong	-140	943	937	961	823	963	2310	2519	1576	1	14	0.8571	4.21
sociology	149	3	3	2	1	0	0	hippo_wins	939	953	939	981	2505	1566	25	2505	1552	39	14	0.8571	5.21
sociology	150	0	2	0	0	1	0	blend_wins	-160	951	-153	951	780	940	2376	2503	1552	41	9	1.0	4.44
sociology	151	2	0	3	0	0	0	both_wrong	896	921	929	962	2495	1599	2	2491	1570	35	21	0.9048	5.57
sociology	152	2	1	2	0	1	0	blend_wins	900	1003	1019	1003	2497	1597	2	2529	1526	41	16	0.9375	4.88
sociology	153	2	0	2	0	1	0	blend_wins	931	970	958	970	2513	1582	1	2514	1544	38	15	1.0	5.4
sociology	154	3	2	3	0	1	0	blend_wins	-150	955	987	955	797	947	2352	2502	1547	47	7	1.0	5.29
sociology	155	2	3	3	0	0	1	both_wrong	-130	-160	970	935	823	953	2320	802	962	2332	3	1.0	6.33
sociology	156	3	3	2	1	0	0	hippo_wins	950	935	950	962	2516	1566	14	2498	1563	35	21	0.9524	5.1
sociology	157	1	3	3	0	0	1	both_wrong	-151	955	1008	1010	792	943	2361	2505	1550	41	11	1.0	5.73
sociology	158	1	2	1	0	1	0	blend_wins	-148	929	972	929	794	942	2360	2494	1565	37	17	0.8824	5.59
sociology	159	1	2	3	0	0	0	both_wrong	-118	-93	922	941	831	949	2316	842	935	2319	12	1.0	5.08
sociology	160	2	0	0	0	0	1	both_wrong	932	931	945	974	2513	1581	2	2513	1582	1	14	0.8571	4.79
sociology	161	3	2	2	0	0	1	both_wrong	-150	-128	1001	1064	828	978	2290	839	967	2290	31	0.9355	5.13
sociology	162	1	1	3	1	0	0	hippo_wins	916	-108	916	934	2506	1590	0	839	947	2310	8	0.875	4.88
sociology	163	0	1	0	0	1	0	blend_wins	941	981	980	981	2518	1577	1	2538	1557	1	9	1.0	4.44
sociology	164	1	0	1	0	1	0	blend_wins	-144	973	876	973	821	965	2310	2533	1560	3	6	1.0	7.0
sociology	165	0	2	3	0	0	0	both_wrong	961	-118	967	1009	2515	1554	27	835	953	2308	16	0.8125	5.31
sociology	166	1	1	3	1	0	0	hippo_wins	959	910	959	946	2513	1554	29	2501	1591	4	8	1.0	4.38
sociology	167	2	2	1	1	0	0	hippo_wins	988	-132	988	979	2541	1553	2	819	951	2326	6	1.0	5.67
sociology	168	0	0	0	1	1	1	both_right	965	1005	965	1005	2528	1563	5	2531	1526	39	23	0.7826	4.61
sociology	169	2	2	1	1	0	0	hippo_wins	952	-128	952	939	2523	1571	2	814	942	2340	8	1.0	6.25
sociology	170	1	1	1	1	1	1	both_right	976	981	976	981	2535	1559	2	2519	1538	39	29	0.8276	4.97
sociology	171	0	1	2	0	0	0	both_wrong	853	-180	948	953	2473	1620	3	780	960	2356	5	1.0	4.0
sociology	172	0	2	2	0	0	1	both_wrong	-149	-148	940	963	813	962	2321	805	953	2338	70	0.7	5.33
sociology	173	1	0	3	0	0	0	both_wrong	-151	-153	-139	971	816	967	2313	826	979	2291	6	1.0	3.5
sociology	174	0	2	0	0	1	0	blend_wins	-146	932	936	932	798	944	2354	2490	1558	48	6	1.0	6.17
sociology	175	3	1	2	0	0	0	both_wrong	-158	-154	992	-118	815	973	2308	813	967	2316	9	1.0	6.67
sociology	176	3	3	0	1	0	0	hippo_wins	973	-159	973	964	2533	1560	3	797	956	2343	8	1.0	6.0
sociology	177	1	0	3	0	0	0	both_wrong	-134	-137	957	957	828	962	2306	830	967	2299	16	0.9375	5.62
sociology	178	1	1	1	1	1	1	both_right	954	983	954	983	2525	1571	0	2539	1556	1	16	0.875	4.75
sociology	179	2	3	1	0	0	0	both_wrong	-112	980	982	1016	852	964	2280	2527	1547	22	10	1.0	5.5
sociology	180	1	1	1	1	1	1	both_right	1004	993	1004	993	2550	1546	0	2528	1535	33	11	0.9091	5.64
sociology	181	2	2	2	1	1	1	both_right	941	957	941	957	2502	1561	33	2525	1568	3	8	1.0	3.75
sociology	182	0	2	1	0	0	0	both_wrong	-131	920	954	974	809	940	2347	2484	1564	48	21	0.9048	5.33
sociology	183	2	0	0	0	0	1	both_wrong	-149	964	980	972	806	955	2335	2511	1547	38	11	1.0	4.91
sociology	184	2	3	3	0	0	1	both_wrong	-132	939	951	1012	816	948	2332	2485	1546	65	11	0.9091	4.45
sociology	185	0	0	1	1	0	0	hippo_wins	985	1018	985	1021	2538	1553	5	2534	1516	46	5	1.0	5.6
sociology	186	3	3	0	1	0	0	hippo_wins	961	953	961	975	2528	1567	1	2502	1549	45	9	0.8889	5.0
sociology	187	1	1	3	1	0	0	hippo_wins	960	896	960	990	2516	1556	24	2495	1599	2	7	1.0	6.14
sociology	188	3	2	0	0	0	0	both_wrong	954	-141	965	931	2525	1571	0	800	941	2355	11	1.0	5.91
sociology	189	2	3	3	0	0	1	both_wrong	-114	958	938	989	842	956	2298	2507	1549	40	15	0.9333	4.73
sociology	190	2	3	2	0	1	0	blend_wins	-142	986	975	986	802	944	2350	2540	1554	2	19	0.8947	5.0
sociology	191	3	1	0	0	0	0	both_wrong	921	-125	943	938	2496	1575	25	837	962	2297	10	1.0	4.4
sociology	192	0	0	0	1	1	1	both_right	967	975	967	975	2514	1547	35	2535	1560	1	11	0.9091	4.64
sociology	193	2	2	0	1	0	0	hippo_wins	967	-124	967	971	2523	1556	17	839	963	2294	12	1.0	4.92
sociology	194	1	1	0	1	0	0	hippo_wins	962	-106	962	1004	2529	1567	0	840	946	2310	10	1.0	5.7
sociology	195	1	1	2	1	0	0	hippo_wins	923	883	923	961	2485	1562	49	2471	1588	37	5	1.0	7.4
sociology	196	3	2	3	0	1	0	blend_wins	-137	966	960	966	836	973	2287	2514	1548	34	9	1.0	5.22
sociology	197	2	1	2	0	1	0	blend_wins	925	1012	967	1012	2510	1585	1	2534	1522	40	13	1.0	6.15
sociology	198	3	1	1	0	0	1	both_wrong	921	-110	1031	1047	2508	1587	1	832	942	2322	14	0.9286	4.93
sociology	199	1	3	2	0	0	0	both_wrong	-166	944	960	973	788	954	2354	2495	1551	50	8	0.875	6.25
sociology	200	1	2	2	0	0	1	both_wrong	954	920	995	987	2511	1557	28	2492	1572	32	17	0.8824	4.35
virology	0	0	1	3	0	0	0	both_wrong	-127	-124	-105	942	837	964	2295	838	962	2296	8	1.0	5.38
virology	1	3	3	0	1	0	0	hippo_wins	985	937	985	979	2538	1553	5	2494	1557	45	8	0.875	3.62
virology	2	1	1	1	1	1	1	both_right	995	1005	995	1005	2534	1539	23	2534	1529	33	7	1.0	4.57
virology	3	1	1	1	1	1	1	both_right	937	950	937	950	2516	1579	1	2523	1573	0	6	1.0	6.0
virology	4	1	2	2	0	0	1	both_wrong	-125	956	964	974	820	945	2331	2525	1569	2	17	1.0	4.94
virology	5	0	3	3	0	0	1	both_wrong	825	888	874	942	2460	1635	1	2491	1603	2	17	0.9412	5.41
virology	6	1	2	2	0	0	1	both_wrong	-123	921	960	962	829	952	2315	2486	1565	45	3	1.0	7.67
virology	7	1	1	1	1	1	1	both_right	969	976	969	976	2532	1563	1	2516	1540	40	12	0.9167	6.92
virology	8	3	3	0	1	0	0	hippo_wins	963	-134	963	913	2514	1551	31	818	952	2326	14	0.7857	5.29
virology	9	1	2	3	0	0	0	both_wrong	-144	-127	914	963	831	975	2290	834	961	2301	19	0.8947	5.16
virology	10	2	0	0	0	0	1	both_wrong	956	899	989	912	2524	1568	4	2497	1598	1	30	0.8667	4.83
virology	11	2	2	1	1	0	0	hippo_wins	1016	955	1016	981	2544	1528	24	2501	1546	49	4	1.0	7.25
virology	12	1	3	0	0	0	0	both_wrong	927	-145	976	946	2511	1584	1	816	961	2319	10	1.0	5.7
virology	13	0	0	0	1	1	1	both_right	978	962	978	962	2527	1549	20	2509	1547	40	9	1.0	4.56
virology	14	1	0	0	0	0	1	both_wrong	972	934	990	956	2519	1547	30	2495	1561	40	4	1.0	5.0
virology	15	0	3	3	0	0	1	both_wrong	-124	961	961	970	838	962	2296	2511	1550	35	10	1.0	5.5
virology	16	3	2	1	0	0	0	both_wrong	918	-141	990	1003	2505	1587	4	836	977	2283	41	0.7561	4.37
virology	17	2	0	1	0	0	0	both_wrong	979	990	979	1010	2522	1543	31	2542	1552	2	6	1.0	7.67
virology	18	1	2	0	0	0	0	both_wrong	-118	997	1007	1038	856	974	2266	2528	1531	37	6	1.0	6.33
virology	19	2	0	0	0	0	1	both_wrong	938	966	953	1030	2517	1579	0	2531	1565	0	15	0.8667	4.6
virology	20	2	0	2	0	1	0	blend_wins	-109	999	950	999	839	948	2309	2523	1524	49	16	1.0	5.69
virology	21	0	3	0	0	1	0	blend_wins	952	974	977	974	2523	1571	2	2516	1542	38	16	1.0	5.75
virology	22	3	2	0	0	0	0	both_wrong	927	969	950	978	2495	1568	33	2530	1561	5	10	1.0	6.1
virology	23	1	0	1	0	1	0	blend_wins	-127	985	949	985	811	938	2347	2523	1538	35	12	0.9167	4.0
virology	24	0	2	1	0	0	0	both_wrong	944	-142	963	920	2520	1576	0	804	946	2346	10	1.0	6.3
virology	25	1	3	3	0	0	1	both_wrong	906	889	982	985	2501	1595	0	2492	1603	1	12	1.0	5.0
virology	26	2	2	2	1	1	1	both_right	998	978	998	978	2537	1539	20	2505	1527	64	8	1.0	5.0
virology	27	0	1	2	0	0	0	both_wrong	989	956	1029	1007	2529	1540	27	2525	1569	2	13	0.9231	5.62
virology	28	1	1	3	1	0	0	hippo_wins	997	958	997	985	2545	1548	3	2510	1552	34	12	1.0	4.58
virology	29	2	3	3	0	0	1	both_wrong	858	-121	930	927	2475	1617	4	836	957	2303	11	0.8182	5.36
virology	30	1	3	0	0	0	0	both_wrong	-141	-129	910	982	823	964	2309	813	942	2341	9	1.0	5.0
virology	31	2	1	2	0	1	0	blend_wins	920	922	996	922	2507	1587	2	2490	1568	38	8	0.875	5.88
